"...1","V1.x","area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg","State","V1.y","value"
1,1,1000,5,10,51,0,2010,"A",NA,"Alabama -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",110326,1444072,56708014349,13082009630,424669676,755,39270,NA,0.98,0.96,0.94,1.01,1,0.98,0.98,NA,-943,-0.8,-18920,-1.3,628728021,1.1,95161899,0.7,229986427,118.1,18,2.4,938,2.4,"Alabama",1,7.25
2,2,2000,5,10,51,0,2010,"A",NA,"Alaska -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",19207,237454,11195898422,6513106740,126850884,907,47150,NA,0.93,0.9,0.89,0.99,0.98,0.98,0.98,NA,-4,0,2535,1.1,318292614,2.9,251231332,4,11300531,9.8,17,1.9,846,1.8,"Alaska",2,7.75
3,3,4000,5,10,51,0,2010,"A",NA,"Arizona -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",142100,1958428,83938081418,15867335974,317692235,824,42860,NA,1.02,1,1,1.01,0.99,1,1,NA,-3938,-2.7,-35416,-1.8,-101244907,-0.1,-286122454,-1.8,103423040,48.3,13,1.6,711,1.7,"Arizona",3,7.25
4,4,5000,5,10,51,0,2010,"A",NA,"Arkansas -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",80817,928522,33254182935,11143842484,341854805,689,35814,NA,0.98,0.99,0.98,1,1,1,0.99,NA,-530,-0.7,-2701,-0.3,539817048,1.7,1522054799,15.8,96754050,39.5,13,1.9,683,1.9,"Arkansas",4,7.25
5,5,6000,5,10,51,0,2010,"A",NA,"California -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",1299754,12044614,632984988393,95998469193,4630853993,1011,52553,NA,1.01,1.01,1,1.02,1,0.99,0.99,NA,-6250,-0.5,-161508,-1.3,14382949384,2.3,42909760,0,636170524,15.9,36,3.7,1873,3.7,"California",5,8
6,6,8000,5,10,51,0,2010,"A",NA,"Colorado -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",168176,1802165,86351902709,19619746438,437805034,921,47916,NA,1.01,1,1,0.95,1,1.01,1.01,NA,-3553,-2.1,-26790,-1.5,720628641,0.8,-234869559,-1.2,102648712,30.6,21,2.3,1096,2.3,"Colorado",6,7.25
7,7,9000,5,10,51,0,2010,"A",NA,"Connecticut -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",107318,1353600,81752594279,18555385430,649040747,1161,60396,NA,1,1.02,1.04,1.01,1,1.02,1.02,NA,-1014,-0.9,-15372,-1.1,1836697709,2.3,-202070307,-1.1,72167248,12.5,38,3.4,2019,3.5,"Connecticut",7,8.25
8,8,10000,5,10,51,0,2010,"A",NA,"Delaware -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",27955,338605,16453447604,3499232421,82628401,934,48592,NA,1.01,1.02,1.03,1.01,1,1,1,NA,-608,-2.1,-3798,-1.1,235492753,1.5,-36306826,-1,10641848,14.8,23,2.5,1227,2.6,"Delaware",8,7.25
9,9,11000,5,10,51,0,2010,"A",NA,"District of Columbia","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",34387,447938,32731828614,4222362988,104929922,1405,73072,NA,1.02,0.78,0.71,1.02,1.01,0.92,0.92,NA,664,2,1457,0.3,1038965665,3.3,85993891,2.1,19367524,22.6,40,2.9,2088,2.9,"District",9,8.25
10,10,12000,5,10,51,0,2010,"A",NA,"Florida -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",585369,6044806,245187792841,49539901417,1180973283,780,40562,NA,1.02,1.02,1,1.02,1.01,0.98,0.98,NA,-2920,-0.5,-72237,-1.2,1386899139,0.6,603569074,1.2,426749822,56.6,14,1.8,706,1.8,"Florida",10,7.25
11,11,13000,5,10,51,0,2010,"A",NA,"Georgia -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",257276,3084772,136689666443,29463626990,650479603,852,44311,NA,1,0.99,1,1.01,1,1.02,1.02,NA,-3821,-1.5,-34689,-1.1,2001075855,1.5,-74323537,-0.3,162113361,33.2,22,2.7,1134,2.6,"Georgia",11,7.25
12,12,15000,5,10,51,0,2010,"A",NA,"Hawaii -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",36363,465119,18276425610,10938952689,191779210,756,39294,NA,0.99,0.95,0.9,1.02,1.01,0.95,0.95,NA,-741,-2,-4587,-1,34880740,0.2,5038020825,85.4,149684726,355.6,9,1.2,458,1.2,"Hawaii",12,7.25
13,13,16000,5,10,51,0,2010,"A",NA,"Idaho -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",51791,492915,17060456942,10818554577,308507211,666,34611,NA,0.98,0.98,0.98,1.01,1,1,1,NA,-1248,-2.4,-7279,-1.5,210023889,1.2,-107119512,-1,165251823,115.4,18,2.8,923,2.7,"Idaho",13,7.25
14,14,17000,5,10,51,0,2010,"A",NA,"Illinois -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",369109,4686483,232086534069,55772171999,1845526043,952,49523,NA,1.01,1.03,1.03,1.01,1,1.01,1.01,NA,4232,1.2,-43524,-0.9,3344671203,1.5,565173316,1,489800436,36.1,22,2.4,1163,2.4,"Illinois",14,8.25
15,15,18000,5,10,51,0,2010,"A",NA,"Indiana -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",152261,2304768,90407388546,17875940797,529596455,754,39226,NA,1,1.02,1.03,1.02,1,1.01,1.01,NA,-1701,-1.1,8311,0.4,2825029678,3.2,706252167,4.1,80076309,17.8,21,2.9,1088,2.9,"Indiana",15,7.25
16,16,19000,5,10,51,0,2010,"A",NA,"Iowa -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",87833,1201166,44958288228,22317141985,519339181,720,37429,NA,0.96,1.01,0.99,1.01,1,0.99,0.99,NA,-430,-0.5,-7167,-0.6,1085049442,2.5,519547481,2.4,187311651,56.4,22,3.2,1120,3.1,"Iowa",16,7.25
17,17,20000,5,10,51,0,2010,"A",NA,"Kansas -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",82025,1047456,41301806165,9406830059,361630316,758,39431,NA,0.97,0.97,0.99,0.65,0.98,1.02,1.02,NA,49,0.1,-19208,-1.8,214526475,0.5,-42578058,-0.5,167130619,85.9,17,2.3,912,2.4,"Kansas",17,7.25
18,18,21000,5,10,51,0,2010,"A",NA,"Kentucky -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",103971,1403521,53857636265,12172327140,427805532,738,38373,NA,0.98,0.99,0.98,1.02,1,1,1,NA,2026,2,-5281,-0.4,887514592,1.7,-42940989,-0.4,52640816,14,15,2.1,774,2.1,"Kentucky",18,7.25
19,19,22000,5,10,51,0,2010,"A",NA,"Louisiana -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",123042,1481210,61425525961,13357667171,216938595,797,41470,NA,0.99,0.97,0.98,1.02,1,1.01,1.01,NA,3678,3.1,-15327,-1,829846545,1.4,939580636,7.6,43679987,25.2,18,2.3,979,2.4,"Louisiana",19,7.25
20,20,23000,5,10,51,0,2010,"A",NA,"Maine -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",46092,478849,17517412601,5195251556,138814934,704,36582,NA,0.97,1,0.98,1.02,1,0.99,0.99,NA,-669,-1.4,-3656,-0.8,266353478,1.5,-18145319,-0.3,55839839,67.3,16,2.3,829,2.3,"Maine",20,7.5
21,21,24000,5,10,51,0,2010,"A",NA,"Maryland -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",160241,1968562,97436422680,17508329396,811632053,952,49496,NA,1.01,0.97,0.93,1,1,0.96,0.96,NA,-511,-0.3,-14948,-0.8,1602437327,1.7,-96526277,-0.5,446555988,122.3,23,2.5,1181,2.4,"Maryland",21,7.25
22,22,25000,5,10,51,0,2010,"A",NA,"Massachusetts -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",213799,2733361,159516375847,33953579313,1616388403,1122,58359,NA,1,1.04,1.06,0.86,0.99,1.02,1.02,NA,6921,3.3,12603,0.5,5361808852,3.5,539899788,1.6,197043554,13.9,32,2.9,1700,3,"Massachusetts",22,8
23,23,26000,5,10,51,0,2010,"A",NA,"Michigan -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",240784,3179778,138737103166,28676036330,1465990911,839,43631,NA,1,1.02,1,1.02,1,0.99,0.99,NA,-5485,-2.2,4881,0.2,2740561290,2,97763065,0.3,157912705,12.1,15,1.8,796,1.9,"Michigan",23,7.4
24,24,27000,5,10,51,0,2010,"A",NA,"Minnesota -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",154902,2184391,102631397790,43004820620,807857754,904,46984,NA,0.98,1.03,1.04,1.02,1,1.01,1.01,NA,-1666,-1.1,-11653,-0.5,3254246529,3.3,866585722,2.1,182404551,29.2,34,3.9,1731,3.8,"Minnesota",24,7.25
25,25,28000,5,10,51,0,2010,"A",NA,"Mississippi -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",64990,833338,27947854180,6690654618,111043852,645,33537,NA,0.97,0.93,0.92,1,0.99,0.98,0.98,NA,-1210,-1.8,-4896,-0.6,246706756,0.9,50516585,0.8,27817774,33.4,9,1.4,490,1.5,"Mississippi",25,7.25
26,26,29000,5,10,51,0,2010,"A",NA,"Missouri -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",163885,2142941,87543627124,25607052668,545849457,786,40852,NA,0.98,1,1.01,1.01,1,1.01,1.01,NA,372,0.2,-30109,-1.4,226366730,0.3,507479455,2,39924253,7.9,13,1.7,670,1.7,"Missouri",26,7.25
27,27,30000,5,10,51,0,2010,"A",NA,"Montana -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",39872,334866,11132317853,5976089752,111888240,639,33244,NA,0.98,0.96,0.93,0.81,0.96,0.97,0.97,NA,-408,-1,-3988,-1.2,205459267,1.9,116706890,2,48345321,76.1,19,3.1,997,3.1,"Montana",27,7.25
28,28,31000,5,10,51,0,2010,"A",NA,"Nebraska -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",55795,736906,27033945560,6567650792,207293553,705,36686,NA,0.97,0.99,0.98,1.01,1,0.99,0.99,NA,-20,0,-5707,-0.8,248749176,0.9,25043402,0.4,119694450,136.6,11,1.6,617,1.7,"Nebraska",28,7.25
29,29,32000,5,10,51,0,2010,"A",NA,"Nevada -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",70876,958194,39189492527,22387177925,272961270,787,40899,NA,1.02,1.04,1.01,1.02,1,0.97,0.97,NA,-3362,-4.5,-27417,-2.8,-1342544279,-3.3,-709870452,-3.1,-15470590,-5.4,-4,-0.5,-225,-0.5,"Nevada",29,7.55
30,30,33000,5,10,51,0,2010,"A",NA,"New Hampshire -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",45661,513531,23769728627,4931695590,165968372,890,46287,NA,0.99,1.03,1.04,1.02,1.01,1.01,1.01,NA,-556,-1.2,-4145,-0.8,416372033,1.8,788193011,19,73691758,79.9,22,2.5,1175,2.6,"New Hampshire",30,7.25
31,31,34000,5,10,51,0,2010,"A",NA,"New Jersey -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",261455,3135081,174737413305,72812537458,1853930545,1072,55736,NA,1.01,1.01,1,1,1,1,0.99,NA,1549,0.6,-23154,-0.7,2477176267,1.4,1125720058,1.6,353593030,23.6,23,2.2,1193,2.2,"New Jersey",31,7.25
32,32,35000,5,10,51,0,2010,"A",NA,"New Mexico -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",51092,592879,22486099068,10657743185,146422826,729,37927,NA,0.97,0.91,0.89,0.99,0.97,0.97,0.97,NA,784,1.6,-9160,-1.5,198262656,0.9,-160385330,-1.5,27208042,22.8,17,2.4,906,2.4,"New Mexico",32,7.5
33,33,36000,5,10,51,0,2010,"A",NA,"New York -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",574781,6905804,425035783049,58788927719,2659604674,1184,61548,NA,1.02,1,1.02,1.02,1.01,1.03,1.03,NA,4307,0.8,4324,0.1,19083273110,4.7,641597658,1.1,484760389,22.3,53,4.7,2727,4.6,"New York",33,7.25
34,34,37000,5,10,51,0,2010,"A",NA,"North Carolina -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",243650,3102309,126803534773,52474032992,917394506,786,40874,NA,1,0.99,0.99,1.02,1.01,1,1,NA,-646,-0.3,-34818,-1.1,3310658681,2.7,268079600,0.5,29692889,3.3,29,3.8,1509,3.8,"North Carolina",34,7.25
35,35,38000,5,10,51,0,2010,"A",NA,"North Dakota -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",23924,291317,11078106242,5349328472,73976809,731,38028,NA,0.95,0.98,0.98,0.99,0.99,1,1,NA,411,1.7,7601,2.7,959117682,9.5,492229132,10.1,24423907,49.3,45,6.6,2362,6.6,"North Dakota",35,7.25
36,36,39000,5,10,51,0,2010,"A",NA,"Ohio -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",270815,4169532,171116886312,37232500283,1184758076,789,41040,NA,0.98,1.02,1.01,1.02,1.01,0.99,0.99,NA,-3632,-1.3,-29065,-0.7,2633580843,1.6,-139867864,-0.4,162589806,15.9,17,2.2,912,2.3,"Ohio",36,7.3
37,37,40000,5,10,51,0,2010,"A",NA,"Oklahoma -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",96503,1161462,44147881300,16840942959,163797848,731,38011,NA,0.98,0.94,0.94,0.95,0.94,1,1,NA,1043,1.1,-12032,-1,806364112,1.9,641228140,4,55963053,51.9,21,3,1077,2.9,"Oklahoma",37,7.25
38,38,41000,5,10,51,0,2010,"A",NA,"Oregon -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",121752,1318288,54028190261,29508076282,810208720,788,40984,NA,0.99,0.99,0.98,1.01,1,0.99,0.99,NA,268,0.2,-10838,-0.8,860073540,1.6,258963388,0.9,250357296,44.7,19,2.5,982,2.5,"Oregon",38,8.4
39,39,42000,5,10,51,0,2010,"A",NA,"Pennsylvania -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",326001,4742319,214943901218,37224012577,2078207504,872,45325,NA,0.99,1.04,1.04,1.02,1.01,1,1,NA,-20,0,1062,0,4457359193,2.1,433160212,1.2,372277855,21.8,18,2.1,930,2.1,"Pennsylvania",39,7.25
40,40,44000,5,10,51,0,2010,"A",NA,"Rhode Island -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",34345,387094,16461099455,5842048578,214719329,818,42525,NA,1.01,1.04,1,1.02,1.01,0.96,0.96,NA,-284,-0.8,-1090,-0.3,423341217,2.6,196097779,3.5,24241739,12.7,23,2.9,1210,2.9,"Rhode Island",40,7.4
41,41,45000,5,10,51,0,2010,"A",NA,"South Carolina -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",107129,1423768,52373631269,11287628348,260511506,707,36785,NA,1,0.97,0.96,1.01,1,0.99,0.99,NA,-2857,-2.6,-5115,-0.4,1249232686,2.4,93358316,0.8,29739488,12.9,19,2.8,1006,2.8,"South Carolina",41,7.25
42,42,46000,5,10,51,0,2010,"A",NA,"South Dakota -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",28422,316734,10733250909,2923860687,65061195,652,33887,NA,0.95,0.98,0.97,0.98,0.95,0.99,0.99,NA,45,0.2,-1131,-0.4,292202920,2.8,107674787,3.8,38359399,143.7,20,3.2,1040,3.2,"South Dakota",42,7.25
43,43,47000,5,10,51,0,2010,"A",NA,"Tennessee -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",135455,2138215,89292714325,20379651779,659478169,803,41760,NA,1.01,1.01,1.02,1,1,1.01,1.01,NA,-1806,-1.3,-10926,-0.5,2720816142,3.1,649849581,3.3,30883489,4.9,28,3.6,1478,3.7,"Tennessee",43,7.25
44,44,48000,5,10,51,0,2010,"A",NA,"Texas -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",556286,8363244,398171355643,84392388801,2355284270,916,47610,NA,1,0.99,1.01,1.01,1,1.02,1.02,NA,6185,1.1,-3030,0,11590246801,3,993254959,1.2,1280986659,119.2,27,3,1403,3,"Texas",44,7.25
45,45,49000,5,10,51,0,2010,"A",NA,"Utah -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",79603,945990,36833085074,19972542809,147091771,749,38936,NA,0.99,0.99,0.98,1.02,1,1,0.99,NA,-1991,-2.4,-9206,-1,559596129,1.5,159325385,0.8,35003330,31.2,19,2.6,961,2.5,"Utah",45,7.25
46,46,50000,5,10,51,0,2010,"A",NA,"Vermont -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",22588,240237,9281809550,2224097557,76941271,743,38636,NA,0.96,0.99,0.97,1.02,1,0.99,0.99,NA,-406,-1.8,461,0.2,179300829,2,364688188,19.6,16120215,26.5,13,1.8,673,1.8,"Vermont",46,8.06
47,47,51000,5,10,51,0,2010,"A",NA,"Virginia -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",222700,2849874,140037138403,25287839674,517201301,945,49138,NA,1,0.97,0.97,1.01,1,1,1,NA,784,0.4,-12904,-0.5,3590490730,2.6,184621156,0.7,213031041,70,28,3.1,1476,3.1,"Virginia",47,7.25
48,48,53000,5,10,51,0,2010,"A",NA,"Washington -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",227264,2283231,109277623798,58760485506,1329319035,920,47861,NA,1.01,0.98,0.97,1.01,1,0.99,0.99,NA,7762,3.5,-28135,-1.2,1119439837,1,69466709,0.1,505692517,61.4,20,2.2,1067,2.3,"Washington",48,8.55
